Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS5,Chrome 126.0.0.0,,,22-06-2024 11:37:09,22-06-2024 11:37:13,3.448s,PASSED
,,,,,,,
Test Cases/TCs_W/TC1,Chrome 126.0.0.0,,,22-06-2024 11:37:09,22-06-2024 11:37:11,1.948s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:37:10,22-06-2024 11:37:11,1.754s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:37:11,22-06-2024 11:37:11,0.093s,PASSED
,,,,,,,
Test Cases/TCs_W/TC10,Chrome 126.0.0.0,,,22-06-2024 11:37:11,22-06-2024 11:37:12,0.734s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:37:11,22-06-2024 11:37:12,0.635s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:37:12,22-06-2024 11:37:12,0.088s,PASSED
,,,,,,,
Test Cases/TCs_W/TC11,Chrome 126.0.0.0,,,22-06-2024 11:37:12,22-06-2024 11:37:13,0.708s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:37:12,22-06-2024 11:37:13,0.613s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:37:13,22-06-2024 11:37:13,0.085s,PASSED
