Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSAll,Chrome 126.0.0.0,,,22-06-2024 10:54:15,22-06-2024 10:55:14,58.105s,PASSED
,,,,,,,
Test Cases/TCs_W/request,Chrome 126.0.0.0,,,22-06-2024 10:54:15,22-06-2024 10:54:16,0.758s,PASSED
"sendRequest(findTestObject(""New Request""))",Chrome 126.0.0.0,,,22-06-2024 10:54:16,22-06-2024 10:54:16,0.651s,PASSED
,,,,,,,
Test Cases/TCs_W/TC21,Chrome 126.0.0.0,,,22-06-2024 10:54:16,22-06-2024 10:54:20,3.822s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:16,22-06-2024 10:54:20,3.709s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:20,22-06-2024 10:54:20,0.093s,PASSED
,,,,,,,
Test Cases/TCs_W/TC15,Chrome 126.0.0.0,,,22-06-2024 10:54:20,22-06-2024 10:54:21,0.774s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:20,22-06-2024 10:54:21,0.668s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:21,22-06-2024 10:54:21,0.090s,PASSED
,,,,,,,
Test Cases/TCs_W/TC_O,Chrome 126.0.0.0,,,22-06-2024 10:54:21,22-06-2024 10:54:25,3.979s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:21,22-06-2024 10:54:21,0.610s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,22-06-2024 10:54:21,22-06-2024 10:54:25,3.255s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:25,22-06-2024 10:54:25,0.093s,PASSED
,,,,,,,
Test Cases/TCs_W/TC8,Chrome 126.0.0.0,,,22-06-2024 10:54:25,22-06-2024 10:54:26,0.757s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:25,22-06-2024 10:54:25,0.647s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:25,22-06-2024 10:54:26,0.090s,PASSED
,,,,,,,
Test Cases/TCs_W/TC11,Chrome 126.0.0.0,,,22-06-2024 10:54:26,22-06-2024 10:54:26,0.684s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:26,22-06-2024 10:54:26,0.595s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:26,22-06-2024 10:54:26,0.081s,PASSED
,,,,,,,
Test Cases/TCs_W/TC25,Chrome 126.0.0.0,,,22-06-2024 10:54:26,22-06-2024 10:54:27,0.669s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:26,22-06-2024 10:54:27,0.579s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:27,22-06-2024 10:54:27,0.084s,PASSED
,,,,,,,
Test Cases/TCs_W/TC9,Chrome 126.0.0.0,,,22-06-2024 10:54:27,22-06-2024 10:54:28,0.668s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:27,22-06-2024 10:54:28,0.579s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:28,22-06-2024 10:54:28,0.083s,PASSED
,,,,,,,
Test Cases/TCs_W/TC10,Chrome 126.0.0.0,,,22-06-2024 10:54:28,22-06-2024 10:54:28,0.656s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:28,22-06-2024 10:54:28,0.566s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:28,22-06-2024 10:54:28,0.082s,PASSED
,,,,,,,
Test Cases/TCs_W/TC24,Chrome 126.0.0.0,,,22-06-2024 10:54:28,22-06-2024 10:54:29,0.689s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:28,22-06-2024 10:54:29,0.598s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:29,22-06-2024 10:54:29,0.084s,PASSED
,,,,,,,
Test Cases/TCs_W/TC30,Chrome 126.0.0.0,,,22-06-2024 10:54:29,22-06-2024 10:54:30,0.697s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:29,22-06-2024 10:54:30,0.601s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:30,22-06-2024 10:54:30,0.086s,PASSED
,,,,,,,
Test Cases/TCs_W/TC20,Chrome 126.0.0.0,,,22-06-2024 10:54:30,22-06-2024 10:54:30,0.673s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:30,22-06-2024 10:54:30,0.585s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:30,22-06-2024 10:54:30,0.080s,PASSED
,,,,,,,
Test Cases/TCs_W/TC14,Chrome 126.0.0.0,,,22-06-2024 10:54:30,22-06-2024 10:54:31,0.694s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:30,22-06-2024 10:54:31,0.604s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 10:54:31,22-06-2024 10:54:31,0.083s,PASSED
,,,,,,,
Test Cases/TCs_W/checkpoint,Chrome 126.0.0.0,,,22-06-2024 10:54:31,22-06-2024 10:55:00,28.722s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 10:54:31,22-06-2024 10:54:32,0.601s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,22-06-2024 10:54:32,22-06-2024 10:54:47,15.204s,PASSED
