Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 126.0.0.0,,,22-06-2024 00:10:03,22-06-2024 00:10:41,38.112s,PASSED
,,,,,,,
Test Cases/TCs_W/checkpoint,Chrome 126.0.0.0,,,22-06-2024 00:10:03,22-06-2024 00:10:26,23.498s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 00:10:03,22-06-2024 00:10:05,1.620s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,22-06-2024 00:10:05,22-06-2024 00:10:13,8.458s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 126.0.0.0,,,22-06-2024 00:10:13,22-06-2024 00:10:16,2.535s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 126.0.0.0,,,22-06-2024 00:10:16,22-06-2024 00:10:16,0.616s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 126.0.0.0,,,22-06-2024 00:10:16,22-06-2024 00:10:17,0.711s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 126.0.0.0,,,22-06-2024 00:10:17,22-06-2024 00:10:18,0.669s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 126.0.0.0,,,22-06-2024 00:10:18,22-06-2024 00:10:18,0.619s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 126.0.0.0,,,22-06-2024 00:10:18,22-06-2024 00:10:19,0.647s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 126.0.0.0,,,22-06-2024 00:10:19,22-06-2024 00:10:19,0.645s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 126.0.0.0,,,22-06-2024 00:10:19,22-06-2024 00:10:20,0.611s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,22-06-2024 00:10:20,22-06-2024 00:10:21,0.623s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 126.0.0.0,,,22-06-2024 00:10:21,22-06-2024 00:10:21,0.595s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,22-06-2024 00:10:21,22-06-2024 00:10:22,0.621s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,22-06-2024 00:10:22,22-06-2024 00:10:23,0.603s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 126.0.0.0,,,22-06-2024 00:10:23,22-06-2024 00:10:23,0.623s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 126.0.0.0,,,22-06-2024 00:10:23,22-06-2024 00:10:24,0.630s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 126.0.0.0,,,22-06-2024 00:10:24,22-06-2024 00:10:24,0.612s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,22-06-2024 00:10:24,22-06-2024 00:10:25,0.622s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 126.0.0.0,,,22-06-2024 00:10:25,22-06-2024 00:10:26,0.584s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,22-06-2024 00:10:26,22-06-2024 00:10:26,0.617s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 00:10:26,22-06-2024 00:10:26,0.123s,PASSED
,,,,,,,
Test Cases/TCs_W/request,Chrome 126.0.0.0,,,22-06-2024 00:10:26,22-06-2024 00:10:27,0.628s,PASSED
"sendRequest(findTestObject(""New Request""))",Chrome 126.0.0.0,,,22-06-2024 00:10:26,22-06-2024 00:10:27,0.582s,PASSED
,,,,,,,
Test Cases/TCs_W/TC26,Chrome 126.0.0.0,,,22-06-2024 00:10:27,22-06-2024 00:10:28,0.843s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 00:10:27,22-06-2024 00:10:28,0.721s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 00:10:28,22-06-2024 00:10:28,0.097s,PASSED
,,,,,,,
