Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2,Chrome 126.0.0.0,,,22-06-2024 11:42:47,22-06-2024 11:43:17,30.218s,PASSED
,,,,,,,
Test Cases/TCs_W/checkpoint,Chrome 126.0.0.0,,,22-06-2024 11:42:47,22-06-2024 11:43:09,22.220s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:47,22-06-2024 11:42:48,0.919s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,22-06-2024 11:42:48,22-06-2024 11:42:56,8.338s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 126.0.0.0,,,22-06-2024 11:42:56,22-06-2024 11:42:59,2.273s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 126.0.0.0,,,22-06-2024 11:42:59,22-06-2024 11:42:59,0.639s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 126.0.0.0,,,22-06-2024 11:42:59,22-06-2024 11:43:00,0.610s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 126.0.0.0,,,22-06-2024 11:43:00,22-06-2024 11:43:00,0.623s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 126.0.0.0,,,22-06-2024 11:43:00,22-06-2024 11:43:01,0.654s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 126.0.0.0,,,22-06-2024 11:43:01,22-06-2024 11:43:02,0.623s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 126.0.0.0,,,22-06-2024 11:43:02,22-06-2024 11:43:02,0.612s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 126.0.0.0,,,22-06-2024 11:43:02,22-06-2024 11:43:03,0.626s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,22-06-2024 11:43:03,22-06-2024 11:43:04,0.631s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 126.0.0.0,,,22-06-2024 11:43:04,22-06-2024 11:43:04,0.595s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,22-06-2024 11:43:04,22-06-2024 11:43:05,0.618s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,22-06-2024 11:43:05,22-06-2024 11:43:05,0.615s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 126.0.0.0,,,22-06-2024 11:43:05,22-06-2024 11:43:06,0.597s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 126.0.0.0,,,22-06-2024 11:43:06,22-06-2024 11:43:07,0.612s,PASSED
