Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSAll,Chrome 126.0.0.0,,,22-06-2024 09:52:36,22-06-2024 09:53:21,45.455s,PASSED
,,,,,,,
Test Cases/TCs_W/request,Chrome 126.0.0.0,,,22-06-2024 09:52:36,22-06-2024 09:52:36,0.710s,PASSED
"sendRequest(findTestObject(""New Request""))",Chrome 126.0.0.0,,,22-06-2024 09:52:36,22-06-2024 09:52:36,0.606s,PASSED
,,,,,,,
Test Cases/TCs_W/TC21,Chrome 126.0.0.0,,,22-06-2024 09:52:36,22-06-2024 09:52:39,2.389s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 09:52:36,22-06-2024 09:52:39,2.273s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 09:52:39,22-06-2024 09:52:39,0.095s,PASSED
,,,,,,,
Test Cases/TCs_W/TC15,Chrome 126.0.0.0,,,22-06-2024 09:52:39,22-06-2024 09:52:40,0.844s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 09:52:39,22-06-2024 09:52:40,0.738s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 09:52:40,22-06-2024 09:52:40,0.094s,PASSED
,,,,,,,
Test Cases/TCs_W/TC_O,Chrome 126.0.0.0,,,22-06-2024 09:52:40,22-06-2024 09:52:43,3.356s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 09:52:40,22-06-2024 09:52:40,0.630s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,22-06-2024 09:52:40,22-06-2024 09:52:43,2.594s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 09:52:43,22-06-2024 09:52:43,0.098s,PASSED
,,,,,,,
Test Cases/TCs_W/TC8,Chrome 126.0.0.0,,,22-06-2024 09:52:43,22-06-2024 09:52:44,0.719s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 09:52:43,22-06-2024 09:52:44,0.623s,PASSED
