Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 126.0.0.0,,,22-06-2024 11:41:35,22-06-2024 11:42:12,36.353s,PASSED
,,,,,,,
Test Cases/TCs_W/checkpoint,Chrome 126.0.0.0,,,22-06-2024 11:41:35,22-06-2024 11:41:59,23.457s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:41:35,22-06-2024 11:41:38,2.070s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,22-06-2024 11:41:38,22-06-2024 11:41:46,8.452s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 126.0.0.0,,,22-06-2024 11:41:46,22-06-2024 11:41:48,2.313s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 126.0.0.0,,,22-06-2024 11:41:48,22-06-2024 11:41:49,0.655s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 126.0.0.0,,,22-06-2024 11:41:49,22-06-2024 11:41:50,0.608s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 126.0.0.0,,,22-06-2024 11:41:50,22-06-2024 11:41:50,0.635s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 126.0.0.0,,,22-06-2024 11:41:50,22-06-2024 11:41:51,0.613s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 126.0.0.0,,,22-06-2024 11:41:51,22-06-2024 11:41:51,0.614s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 126.0.0.0,,,22-06-2024 11:41:51,22-06-2024 11:41:52,0.590s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 126.0.0.0,,,22-06-2024 11:41:52,22-06-2024 11:41:53,0.621s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,22-06-2024 11:41:53,22-06-2024 11:41:53,0.619s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 126.0.0.0,,,22-06-2024 11:41:53,22-06-2024 11:41:54,0.609s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,22-06-2024 11:41:54,22-06-2024 11:41:54,0.620s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,22-06-2024 11:41:54,22-06-2024 11:41:55,0.604s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 126.0.0.0,,,22-06-2024 11:41:55,22-06-2024 11:41:56,0.590s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 126.0.0.0,,,22-06-2024 11:41:56,22-06-2024 11:41:56,0.609s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 126.0.0.0,,,22-06-2024 11:41:56,22-06-2024 11:41:57,0.597s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,22-06-2024 11:41:57,22-06-2024 11:41:57,0.602s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 126.0.0.0,,,22-06-2024 11:41:57,22-06-2024 11:41:58,0.598s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,22-06-2024 11:41:58,22-06-2024 11:41:59,0.601s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:41:59,22-06-2024 11:41:59,0.117s,PASSED
,,,,,,,
Test Cases/TCs_W/request,Chrome 126.0.0.0,,,22-06-2024 11:41:59,22-06-2024 11:41:59,0.518s,PASSED
"sendRequest(findTestObject(""New Request""))",Chrome 126.0.0.0,,,22-06-2024 11:41:59,22-06-2024 11:41:59,0.491s,PASSED
,,,,,,,
Test Cases/TCs_W/TC26,Chrome 126.0.0.0,,,22-06-2024 11:41:59,22-06-2024 11:42:00,0.749s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:41:59,22-06-2024 11:42:00,0.648s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:00,22-06-2024 11:42:00,0.085s,PASSED
,,,,,,,
Test Cases/TCs_W/TC27,Chrome 126.0.0.0,,,22-06-2024 11:42:00,22-06-2024 11:42:01,0.684s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:00,22-06-2024 11:42:01,0.596s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:01,22-06-2024 11:42:01,0.079s,PASSED
,,,,,,,
Test Cases/TCs_W/TC28,Chrome 126.0.0.0,,,22-06-2024 11:42:01,22-06-2024 11:42:01,0.672s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:01,22-06-2024 11:42:01,0.579s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:01,22-06-2024 11:42:01,0.084s,PASSED
,,,,,,,
Test Cases/TCs_W/TC29,Chrome 126.0.0.0,,,22-06-2024 11:42:01,22-06-2024 11:42:02,0.676s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:01,22-06-2024 11:42:02,0.582s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:02,22-06-2024 11:42:02,0.087s,PASSED
,,,,,,,
Test Cases/TCs_W/TC3,Chrome 126.0.0.0,,,22-06-2024 11:42:02,22-06-2024 11:42:03,0.662s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:02,22-06-2024 11:42:03,0.571s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:03,22-06-2024 11:42:03,0.083s,PASSED
,,,,,,,
Test Cases/TCs_W/TC30,Chrome 126.0.0.0,,,22-06-2024 11:42:03,22-06-2024 11:42:03,0.686s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:03,22-06-2024 11:42:03,0.594s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:03,22-06-2024 11:42:03,0.085s,PASSED
,,,,,,,
Test Cases/TCs_W/TC4,Chrome 126.0.0.0,,,22-06-2024 11:42:03,22-06-2024 11:42:04,0.674s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:03,22-06-2024 11:42:04,0.581s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:04,22-06-2024 11:42:04,0.085s,PASSED
,,,,,,,
Test Cases/TCs_W/TC5,Chrome 126.0.0.0,,,22-06-2024 11:42:04,22-06-2024 11:42:05,0.668s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:04,22-06-2024 11:42:05,0.575s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:05,22-06-2024 11:42:05,0.085s,PASSED
,,,,,,,
Test Cases/TCs_W/TC6,Chrome 126.0.0.0,,,22-06-2024 11:42:05,22-06-2024 11:42:06,0.685s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:05,22-06-2024 11:42:05,0.594s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:05,22-06-2024 11:42:06,0.086s,PASSED
,,,,,,,
Test Cases/TCs_W/TC7,Chrome 126.0.0.0,,,22-06-2024 11:42:06,22-06-2024 11:42:06,0.678s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-06-2024 11:42:06,22-06-2024 11:42:06,0.576s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,22-06-2024 11:42:06,22-06-2024 11:42:06,0.091s,PASSED
,,,,,,,
